관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편의시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
48250-00113,신어2공원,어린이공원,경상남도 김해시 삼안로310번길,경상남도 김해시 삼방동 563-8,35.252765,128.902568,1760,-,놀이터,-,-,-,1999-05-26,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00124,연지공원,근린공원,경상남도 김해시 금관대로1368번길,경상남도 김해시 내동 106-1,35.244568,128.865598,75650,-,놀이터,주차장,-,음악분수,1991-11-26,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00181,화정공원,근린공원,경상남도 김해시 삼계중앙로13번길,경상남도 김해시 삼계동 1437,35.262162,128.866268,22686,-,놀이터,-,-,-,2000-12-31,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00179,홍익공원,어린이공원,경상남도 김해시 금관대로 1365번길,경상남도 김해시 내동 130-6,35.245185,128.847949,1532,-,놀이터,-,-,-,1987-12-29,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00178,호계공원,어린이공원,-,경상남도 김해시 동상동 112,35.240041,128.868804,1680,-,놀이터,-,-,-,1997-09-05,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00177,해오름공원,체육공원,경상남도 김해시 가야로 245,경상남도 김해시 구산동 1049-2,35.25679401,128.8773215,70268,-,놀이터,-,-,-,1998-02-11,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00176,해반공원,근린공원,경상남도 김해시 내외중앙로 102번길,경상남도 김해시 내동 1137-1,35.239058,128.8706332,12225,농구장,놀이터,-,-,-,1991-11-26,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00175,해님공원,어린이공원,경상남도 김해시 칠산로183번길,경상남도 김해시 이동 112-10,35.192131,128.823004,1343,-,놀이터,-,-,-,2001-08-13,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00174,해금공원,어린이공원,경상남도 김해시 인제로51번길,경상남도 김해시 어방동 1103-3,35.234049,128.886321,1518,-,놀이터,-,-,-,1996-09-12,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00173,함박공원,근린공원,경상남도 김해시 함박로 31,경상남도 김해시 외동 1205,35.23338393,128.8577625,11264,족구장,-,-,-,-,1991-11-26,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00172,한주공원,어린이공원,경상남도 김해시 우암로 36,경상남도 김해시 외동 1250-2,35.23286153,128.862434,1594,-,놀이터,-,-,-,1996-03-28,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00171,한일공원,어린이공원,경상남도 김해시 삼안로 246,경상남도 김해시 삼방동 691-1,35.25004477,128.910554,1503,-,놀이터,-,-,-,1987-12-18,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00170,한마음공원,어린이공원,경상남도 김해시 삼계로 239,경상남도 김해시 삼계동 1439-3,35.2650916,128.8685072,4500,-,놀이터,-,-,-,2001-01-03,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00158,청천공원,근린공원,-,경상남도 김해시 진례면 청천리 일원,35.2648634,128.7469886,131000,-,-,-,-,-,2001-06-29,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00169,한림공원,어린이공원,경상남도 김해시 한림로401번길,경상남도 김해시 장방리 1955-5,35.322108,128.783876,849,-,놀이터,-,-,-,2001-12-21,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00168,한걸음공원,어린이공원,경상남도 김해시 전하로99번길,경상남도 김해시 흥동 53-2,35.221053,128.842028,1789,-,놀이터,-,-,-,2002-01-26,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00167,학교가는길(신리구간),근린공원,-,경상남도 김해시 율하동 1420외 5필지 (3호근린공원),35.170588,128.79852,33851,-,"수경시설, 조합놀이대",-,-,-,2003-12-30,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00166,학교가는길(구관동구간),근린공원,-,경상남도 김해시 율하동 1410외 4필지(2호근린공원),35.173489,128.793321,22585,-,수경시설,-,-,-,2003-12-30,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00165,하늬공원,어린이공원,경상남도 김해시 구산로5번길 89,경상남도 김해시 구산동 1052-2,35.25537529,128.8674404,1500,-,놀이터,-,-,-,2001-01-03,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00164,하늘나리공원,어린이공원,-,경상남도 김해시 삼문동 568-4,35.194496,128.788065,1515,-,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00163,풍유공원,도시농업공원,-,경상남도 김해시 칠산서부동일원,35.2576258,128.8677939,637830,-,-,-,-,-,1986-10-10,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00162,평전공원,근린공원,경상남도 김해시 금관대로 1368번길,경상남도 김해시 내동 1068,35.245056,128.850371,21373,농구장,-,-,-,야외무대,1995-12-31,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00161,팔각공원,어린이공원,경상남도 김해시 김해대로2415번길 11,경상남도 김해시 부원동 628-3,35.22852927,128.8907501,1275,-,-,-,-,팔각회회관,1991-02-27,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00160,파랑공원,어린이공원,경상남도 김해시 함박로 45번길,경상남도 김해시 외동 1202-1,35.234436,128.857598,2293,-,놀이터,-,-,-,1996-03-28,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00159,초롱별공원,어린이공원,경상남도 김해시 가야로 17,경상남도 김해시 삼계동 1410-3,35.27029019,128.8623939,1480,-,놀이터,-,-,-,2001-01-05,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00157,청미래공원,어린이공원,-,경상남도 김해시 대청동 320-3,35.188348,128.782454,1748,농구장,-,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00156,창의뜰공원,어린이공원,경상남도 김해시 전하로147번길,경상남도 김해시 흥동 415-7,35.221577,128.862745,1738,-,놀이터,-,-,-,2002-01-26,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00155,참샘공원,어린이공원,-,경상남도 김해시 대청동 331-1,35.18538,128.782095,2411,-,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00095,소리공원,어린이공원,-,경상남도 김해시 삼문동 96-1,35.198879,128.781521,4038,-,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00094,선학공원,어린이공원,-,경상남도 김해시 내동 1109-1,35.237032,128.842835,2620,-,놀이터,-,-,-,1996-03-28,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00093,서어지공원,근린공원,경상남도 김해시 진영읍 장등로19번길 31,경상남도 김해시 진영리 1614-4,35.30794239,128.7313699,17809,스케이트장,놀이터,-,-,바닥분수,2001-12-21,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00151,지성공원,어린이공원,경상남도 김해시 평전로71번길,경상남도 김해시 외동674-1,35.23814,128.852703,1521,-,놀이터,-,-,-,1988-07-08,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00150,지내공원,어린이공원,경상남도 김해시 분성로,경상남도 김해시 지내동 311-15,35.232016,128.902885,1516,-,놀이터,-,-,-,1999-12-29,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00149,죽림공원,어린이공원,-,경상남도 김해시 관동동 1105-3(1호어린이공원),35.177724,128.797812,1917,-,조합놀이대,-,-,-,2003-12-30,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00148,주천공원,어린이공원,경상남도 김해시 장등로19번길,경상남도 김해시 진영리 1586-13,35.309169,128.726528,2441,-,놀이터,-,-,-,2001-12-21,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00147,주공공원,어린이공원,경상남도 김해시 활천로202번길,경상남도 김해시 어방동 721-7,35.239634,128.897528,2373,-,놀이터,-,-,-,1994-03-19,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00135,인제공원,어린이공원,경상남도 김해시 활천로255번길 61-21,경상남도 김해시 삼방동 161-2,35.247586,128.9050599,1704,-,놀이터,-,-,-,1987-12-18,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00146,주공2공원,어린이공원,-,경상남도 김해시 구산동 319,35.247459,128.858623,1349,-,놀이터,-,-,-,2000-12-31,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00145,젤미공원,근린공원,-,경상남도 김해시 삼문동 695,35.195778,128.8049448,26488,축구장 외 2종,-,"화장실, 주차장",-,-,1998-12-03,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00144,제말공원,어린이공원,경상남도 김해시 활천로267번길,경상남도 김해시 삼방동 179-2,35.244861,128.90619,2039,-,놀이터,-,-,-,1991-04-01,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00143,정자배기공원,어린이공원,-,경상남도 김해시 율하동 1363-1(5호어린이공원),35.168338,128.796535,1732,-,조합놀이대,-,-,-,2003-12-30,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00142,정자나무공원,근린공원,-,경상남도 김해시 관동동 448-7,35.177885,128.776279,11927,-,-,화장실,-,-,1995-09-30,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00141,정자공원,어린이공원,경상남도 김해시 삼안로291번길,경상남도 김해시 삼방동 678-3,35.249329,128.905829,1500,-,놀이터,-,-,-,1988-03-11,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00140,장방B,어린이공원,경상남도 김해시 한림로442번길,경상남도 김해시 장방 1313-80,35.324548,128.799882,3319,-,놀이터,-,-,-,2004-07-24,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00139,장방A,어린이공원,경상남도 김해시 한림로442번길,경상남도 김해시 장방 1317-2,35.324548,128.799882,1929,-,놀이터,-,-,-,2004-07-24,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00138,장구공원,어린이공원,-,경상남도 김해시 부곡동 805-3,35.203415,128.785104,2003,-,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00137,자성공원,어린이공원,경상남도 김해시 분성로517번길,경상남도 김해시 어방동 1129-17,35.236883,128.900957,1488,-,놀이터,-,-,-,1996-09-12,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00136,임호공원,도시농업공원,-,경상남도 김해시 내외동 일원,35.2374325,128.852688,852660,-,-,-,-,-,1986-10-10,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00134,은하공원,어린이공원,경상남도 김해시 평전로 48,경상남도 김해시 외동 696-7,35.235781,128.8532911,1768,-,놀이터,-,-,-,1988-03-11,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00133,율하체육공원,체육공원,-,경상남도 김해시 관동동 1123-1,35.17819673,128.8213377,34248,풋살구장외4종,-,화장실,전시관,-,2003-12-30,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00132,율하천공원,근린공원,-,경상남도 김해시 율하동 1407외 4필지(1호근린공원),35.175813,128.79386,70781,-,조합놀이대,화장실,"전시관, 도서관, 교통공원",야외공연장,2003-12-30,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00131,율천공원,어린이공원,-,경상남도 김해시 율하동 1414(3호어린이공원),35.173612,128.794136,1864,-,조합놀이대,화장실,-,-,2003-12-30,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00130,유신공원,어린이공원,경상남도 김해시 활천로 74번길,경상남도 김해시 삼정동 75-1,35.234368,128.893881,2082,-,놀이터,-,-,-,1990-11-15,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00129,유민공원,어린이공원,경상남도 김해시 전하로222번길,경상남도 김해시 전하동 453,35.223368,128.869971,1909,-,놀이터,-,-,-,2003-12-03,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00128,우암공원,어린이공원,경상남도 김해시 금관대로 1354번길,경상남도 김해시 내동 1073-1,35.243148,128.864391,1763,-,놀이터,-,-,-,1996-03-28,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00127,우리마당공원,어린이공원,경상남도 김해시 칠산로179번길,경상남도 김해시 화목동 913-2,35.198506,128.835913,1608,-,놀이터,-,-,-,2001-10-13,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00126,외동1단지,어린이공원,경상남도 김해시 분성로172번길,경상남도 김해시 외동 1368,35.228571,128.86589,1500,-,놀이터,-,-,-,1989-04-24,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00123,여래공원,근린공원,-,경상남도 김해시 진영읍 여래리 산5,35.308435,128.730519,458000,-,-,-,-,-,1977-08-29,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00122,어리연공원,어린이공원,경상남도 김해시 가야로157번길,경상남도 김해시 삼계동 1454-4,35.263646,128.872658,1500,-,놀이터,-,-,-,2001-01-03,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00121,애기등공원,어린이공원,경상남도 김해시 우암로 76,경상남도 김해시 내동 1115-1,35.23791665,128.8623519,1602,-,놀이터,-,-,-,1996-03-28,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00120,애기나리공원,어린이공원,경상남도 김해시 칠산로361번길,경상남도 김해시 화목동 487-2,35.205152,128.848835,1607,-,놀이터,-,-,바닥분수,2001-11-14,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00119,알로기공원,어린이공원,-,경상남도 김해시 부곡동 1157-4,35.214069,128.777338,2002,-,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00118,아이뜰공원,어린이공원,경상남도 김해시 흥동로 109,경상남도 김해시 흥동 56-5,35.222234,128.8607144,1787,-,놀이터,-,-,-,2002-01-26,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00117,아이공원,어린이공원,경상남도 김해시 칠산로387번길,경상남도 김해시 화목동 1053-3,35.20768,128.845664,2652,-,놀이터,-,-,-,2003-07-31,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00116,아름공원,어린이공원,경상남도 김해시 김해대로407번길,경상남도 김해시 여래리 1619-1,35.307314,128.731117,1510,-,놀이터,-,-,-,2001-12-21,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00115,아람치공원,어린이공원,-,경상남도 김해시 부곡동 806-7,35.205124,128.787633,2006,-,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00114,신어공원,어린이공원,경상남도 김해시 삼안로280번길,경상남도 김해시 삼방동 646,35.252915,128.90677,1675,-,놀이터,-,-,-,1999-04-01,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00112,신어1공원,어린이공원,경상남도 김해시 인제로244번길,경상남도 김해시 삼방동 592-4,35.250785,128.902173,1689,-,놀이터,-,-,-,1999-05-26,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00111,신명공원,어린이공원,-,경상남도 김해시 부곡동 802-4,35.207032,128.786149,1996,-,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00110,신리공원,어린이공원,-,경상남도 김해시 율하동 1425(7호어린이공원),35.172588,128.802282,1497,-,조합놀이대,화장실,-,-,2003-12-30,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00109,숲정이공원,어린이공원,-,경상남도 김해시 내덕동 238-3,35.178627,128.771443,1997,-,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00108,수홍공원,어린이공원,경상남도 김해시 김해대로332번길,경상남도 김해시 진영리 1557,35.305703,128.721775,2283,-,놀이터,-,-,-,2004-08-20,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00107,수인공원,근린공원,경상남도 김해시 평전로 163,경상남도 김해시 내동 144,35.243496,128.8615034,10022,-,놀이터,-,-,-,1988-07-08,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00106,수우공원,어린이공원,-,경상남도 김해시 삼문동 583-2,35.190938,128.789426,1944,-,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00105,수변공원,근린공원,-,"경상남도 김해시 대청동 364일원(296,308)",35.189682,128.795331,29343,-,-,화장실(2개소),-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00104,수리공원,근린공원,-,경상남도 김해시 삼계동 1520-7,35.262178,128.85143,5551,-,-,화장실,-,-,2001-01-03,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00103,수남공원,어린이공원,-,경상남도 김해시 율하동 1428(6호어린이공원),35.16912,128.799681,2743,-,조합놀이대,화장실,-,-,2003-12-30,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00102,송정공원,근린공원,-,경상남도 김해시 진례면 송정리 일원,35.2509845,128.7448094,113580,-,-,-,-,-,2001-06-29,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00101,송이공원,어린이공원,경상남도 김해시 금관대로 1320번길,경상남도 김해시 내동 1087-1,35.241018,128.861723,1888,-,놀이터,-,-,-,1996-03-28,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00100,송림공원,어린이공원,경상남도 김해시 분성로501번길 8-3,경상남도 김해시 어방동 1090,35.236008,128.9012838,1516,-,놀이터,-,-,-,1994-03-18,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00099,솜다리공원,어린이공원,-,경상남도 김해시 삼문동 62-13,35.194572,128.778043,2100,배드민턴장,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00098,솔바람공원,어린이공원,-,경상남도 김해시 대청동 333-5,35.184449,128.778901,2001,-,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00097,소방공원,어린이공원,-,경상남도 김해시 삼정동 654-5,35.22965,128.884783,2052,-,놀이터,-,-,바닥분수,1995-04-14,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00096,소바우공원,근린공원,경상남도 김해시 우암로 106,경상남도 김해시 내동 1125-1,35.23956532,128.8646085,11961,-,놀이터,-,-,-,1991-11-26,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00092,생림공원,근린공원,-,경상남도 김해시 생림면 봉림리 703-1,35.328404,128.83008,131000,농구장,놀이터,화장실,-,바닥분수,1998-12-23,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00091,샘터공원,어린이공원,-,경상남도 김해시 삼문동 61-6,35.196314,128.783462,2102,-,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00090,새싹공원,어린이공원,-,경상남도 김해시 대청동 283-2,35.189131,128.77772,2038,농구장,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00089,새동네공원,어린이공원,-,경상남도 김해시 구산동 281,35.24815,128.85306,1511,-,놀이터,-,-,-,1993-01-12,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00088,삼중공원,어린이공원,-,경상남도 김해시 삼정동 639-5,35.232096,128.884479,2145,-,놀이터,-,-,-,1995-04-14,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00087,삼정공원,어린이공원,-,경상남도 김해시 삼정동 593-6,35.231862,128.879208,1651,-,놀이터,-,-,-,1991-10-31,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00086,삼안공원,어린이공원,-,경상남도 김해시 삼방동 26,35.241735,128.897838,2815,배드민턴장,놀이터,-,-,-,1991-04-01,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00085,삼성공원,어린이공원,-,경상남도 김해시 삼정동 643-4,35.231879,128.881967,2050,-,놀이터,-,-,-,1995-04-14,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00084,삼산공원,근린공원,-,경상남도 김해시 구산동 22-1 일원,35.245059,128.862041,181723,-,-,-,"박물관, 유적지",-,1986-10-10,경상남도 김해시청,055-330-7313,2019-06-24,5350000,경상남도 김해시
48250-00083,삼부공원,어린이공원,-,경상남도 김해시 어방동 1109-4,35.231622,128.886624,1523,-,놀이터,-,-,-,1996-09-12,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00082,삼방공원,근린공원,-,경상남도 김해시 삼방동 674-1,35.25016411,128.9073313,10713,배드민턴장,놀이터,-,-,바닥분수,1988-07-08,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00081,삼계근린공원,근린공원,-,경상남도 김해시 삼계동 산4-1번지외 77,35.259999,128.862933,200114,-,놀이터,화장실,-,수경시설,1995-04-06,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00080,산정공원,어린이공원,-,경상남도 김해시 삼정동 46-5,35.235914,128.880043,1619,-,놀이터,-,-,-,1990-11-15,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00079,산돌림공원,어린이공원,-,경상남도 김해시 부곡동 1162-2,35.214069,128.777338,2082,-,조합놀이대,-,-,-,1998-12-23,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48250-00078,비비추공원,어린이공원,-,경상남도 김해시 흥동 45-3,35.221251,128.838197,1743,-,놀이터,-,-,바닥분수,2002-01-26,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00077,분산성공원,근린공원,-,"경상남도 김해시 동상,활천,북부일원",35.24596,128.892295,2370400,-,-,-,-,-,1986-10-10,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00076,부원근린공원,근린공원,경상남도 김해시 김해대로2415번길,경상남도 김해시 부원동625-1,35.22785676,128.8904182,7519,-,놀이터,-,-,-,1991-02-27,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00075,부원공원,어린이공원,경상남도 김해시 가락로 8-17,경상남도 김해시 부원동607-8,35.22749439,128.8836048,827,-,-,-,-,-,1989-12-30,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00074,봉황대공원,근린공원,경상남도 김해시 가락로63번길 51,경상남도 김해시 봉황동 158,35.230445,128.8765027,52373,-,-,-,유적지,-,1991-07-11,경상남도 김해시청,055-330-7313,2019-06-24,5350000,경상남도 김해시
48250-00073,봉황공원,어린이공원,경상남도 김해시 가락로15번길 37,경상남도 김해시 봉황동17-13,35.22739982,128.8780937,813,-,놀이터,-,-,-,1989-12-30,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00072,봉화공원,도시농업공원,-,경상남도 김해시 본산리 봉화산 일원,35.3160051,128.7749437,490000,-,-,-,-,-,1999-04-08,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00071,봉우공원,어린이공원,경상남도 김해시 호계로555번길 2-24,경상남도 김해시 동상동 1122-1,35.24103714,128.8831579,1800,-,놀이터,-,-,-,1996-03-28,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00070,봉명공원,어린이공원,-,경상남도 김해시 외동 1249-3,35.232213,128.845976,1551,-,놀이터,-,-,-,1996-03-28,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00069,복음공원,어린이공원,-,경상남도 김해시 삼정동 99-1,35.231029,128.874968,1782,-,놀이터,-,-,-,1990-11-15,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00068,백운공원,어린이공원,-,경상남도 김해시 대성동 483,35.231029,128.874968,1690,-,놀이터,-,-,-,1990-11-15,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00067,방울공원,어린이공원,-,경상남도 김해시 이동 186-3,35.194056,128.841442,1818,-,놀이터,-,-,-,2003-08-11,경상남도 김해시청,055-330-4414,2019-06-24,5350000,경상남도 김해시
48250-00066,반룡산공원,근린공원,-,경상남도 김해시 관동동 산59-1 일원,35.179593,128.788413,20660,-,"수경시설, 조합놀이대","화장실, 주차장",도서관,-,1993-02-27,경상남도 김해시청,055-330-6989,2019-06-24,5350000,경상남도 김해시
48840-00004,선소공원,근린공원,-,경상남도 남해군 남해읍 선소리 196-12,34.848511,127.911111,76490,미조성,-,-,-,-,1973-10-12,경상남도 남해군청,055-860-3653,2019-06-25,5430000,경상남도 남해군
48840-00003,차산공원,근린공원,-,경상남도 남해군 남해읍 차산리 746,34.84218638,127.9012598,262721,궁도장,-,화장실,-,-,1973-10-12,경상남도 남해군청,055-860-3653,2019-06-25,5430000,경상남도 남해군
48840-00002,봉황산공원,근린공원,-,경상남도 남해군 남해읍 아산리 산144-7,34.842477,127.888544,303791,운동기구,놀이체험장,"파고라, 벤치, 화장실",-,-,1973-10-12,경상남도 남해군청,055-860-3653,2019-06-25,5430000,경상남도 남해군
48840-00001,남산공원,근린공원,-,경상남도 남해군 남해읍 서변리 산1-1,34.83341881,127.8918373,267040,"풋살장, 농구장, 그라운드골프장, 운동기구","아이나라, 놀이체험장","파고라, 벤치, 화장실",충혼탑,-,1973-10-12,경상남도 남해군청,055-860-3653,2019-06-25,5430000,경상남도 남해군
48820-00010,군호마을 소공원-1,소공원,-,경상남도 고성군 하이면 덕호리 1331-4,34.930352,128.118101,1933,-,-,-,-,-,2016-01-07,경상남도 고성군청,-,2019-09-06,5420000,경상남도 고성군
48820-00009,대가 연꽃테마공원,근린공원,-,경상남도 고성군 대가면 유흥리 304,35.008862,128.298183,19944,-,-,-,-,-,2014-06-17,경상남도 고성군청,-,2019-09-06,5420000,경상남도 고성군
48820-00008,코아루공원,어린이공원,-,경상남도 고성군 고성읍 수남리 487-36,34.964431,128.321133,9707,-,-,-,-,-,2013-10-29,경상남도 고성군청,-,2019-09-06,5420000,경상남도 고성군
